,Date,solo,solo,solo,psp,psp,psp,stereo-a,stereo-a,stereo-a,bepi,bepi,bepi,earth,earth,earth,mars,mars,mars,venus,venus,venus
,-,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,2020-02-10 06:00:00,0.9865638461206574,-0.00022159282137246,2.363325671322245e-05,0.06631842590535982,-0.3912308126371709,-0.009193869771643558,0.43452877064140594,0.8607456605563216,-0.0010578038984806208,-0.5931753484430232,0.6571943522968484,0.013750207950977263,0.98661440145473,-4.980405511162017e-17,4.980405511162017e-17,-0.08210461887670191,1.539170944329337,-0.0037296693352137774,0.2213768063977957,-0.6862322036631878,-0.005969162242580933
1,2020-02-11 06:00:00,0.9871871702325199,-0.0035132922063995475,0.0005052858247930906,0.0900730984058748,-0.4084182172274752,-0.010800560895656392,0.418880220364988,0.8685687463815543,-0.0010914687836990648,-0.6080677457993992,0.6445092267989254,0.013642532851762526,0.9867950935642706,-2.4902027555810085e-17,-2.4902027555810085e-17,-0.0685653411770965,1.5385518988637064,-0.004167827088181939,0.22848989201735243,-0.6837788866881696,-0.004776187355873465
2,2020-02-12 06:00:00,0.987692424196045,-0.006664544747723896,0.0009652996496423798,0.11346523854215945,-0.4239525394257141,-0.01236365418661107,0.4030934319518759,0.8761052000870891,-0.0011247736585442126,-0.6227016424797134,0.631550066734704,0.013529054765793084,0.9869811730112596,-7.470608266743025e-17,-2.4902027555810085e-17,-0.05507470039854179,1.5378101972284761,-0.00460563013300322,0.23558567554936993,-0.6812483553053221,-0.0035794743493252072
3,2020-02-13 06:00:00,0.9880888065965302,-0.009804534370924396,0.0014217127945035258,0.13646163637221195,-0.4380023738755458,-0.013883545630535893,0.3871736521941552,0.8833526152838727,-0.0011577075882656768,-0.6370715599844302,0.6183231338958664,0.013409837912208776,0.9871723527930121,6.225506888952521e-17,4.980405511162017e-17,-0.04163357452695256,1.536947023527688,-0.005043048360423739,0.24266318309775958,-0.6786407134400699,-0.0023799718619054336
4,2020-02-14 06:00:00,0.9883781864152406,-0.012941905569453394,0.0018761678574511498,0.15904107722888763,-0.4507099853026219,-0.015360962320057793,0.37112616850370056,0.890308681474783,-0.0011902597685167211,-0.6511722122332274,0.6048348168858376,0.013284949622091253,0.9873682761136149,3.735304133371513e-17,-2.4902027555810085e-17,-0.02824294184477672,1.5359635600647745,-0.005480052190383995,0.2497214939725887,-0.67595606500207,-0.0011786287720826016
5,2020-02-15 06:00:00,0.9885612258938187,-0.016076942368546277,0.002329215934741013,0.18119060457970157,-0.4621965106280556,-0.016796818133076773,0.3549563071635752,0.8969711846905983,-0.001222419528736902,-0.6649985088320371,0.5910916235595856,0.013154460240126169,0.9875685482968107,-6.225506888952521e-17,-2.4902027555810085e-17,-0.014903898320527553,1.5348609921688,-0.005916611709491127,0.25675974754996916,-0.6731945082870445,2.3606591714402605e-05
6,2020-02-16 06:00:00,0.9886383436242404,-0.019207788248401296,0.002780964762809834,0.20290299802466089,-0.4725659628834714,-0.01819212310411326,0.3386694315711139,0.9033380080944491,-0.0012541763354590072,-0.6785455579756051,0.5771001733797358,0.013018443022677696,0.9877727662642733,0.0,4.980405511162017e-17,-0.0016176546045685706,1.5336405139024782,-0.006352695947129721,0.26377714103906813,-0.6703561333735731,0.0012257869250462934
7,2020-02-17 06:00:00,0.9886098386950869,-0.022331632322157666,0.0032314273219033996,0.2241750434931049,-0.48190834365009766,-0.019547926286801458,0.32227094047349303,0.9094071325541879,-0.001285519795339484,-0.6918086689841567,0.5628671897106615,0.01287697403258474,0.9879805413024939,-1.1205912400114538e-16,-2.4902027555810085e-17,0.011614480198182536,1.5323033334706615,-0.006788272367612949,0.2707729214942934,-0.6674410219169904,0.0024269662525380265
8,2020-02-18 06:00:00,0.9884759667963399,-0.025445171367757556,0.003680588476413998,0.24500632909249412,-0.4903020845039466,-0.02086527974895775,0.30576626619640784,0.9151766371840413,-0.0013164396584634864,-0.7047833544757969,0.5483994920704195,0.01273013203098453,0.9881915143232917,-7.470608266743025e-17,0.0,0.02479112048734371,1.5308506776593063,-0.007223306585267913,0.27774637546648295,-0.6644492484163498,0.0036262001832824114
9,2020-02-19 06:00:00,0.9882369888109799,-0.0285448434549971,0.004128402784565384,0.26539839668541837,-0.49781598154981693,-0.022145216144204647,0.28916087286654807,0.9206446998540723,-0.0013469258212711604,-0.7174653321762153,0.533703988361444,0.012577998366487654,0.9884053649557815,8.71570964453353e-17,0.0,0.03791082666990065,1.5292837950995193,-0.007657762270268028,0.28469681860120394,-0.6613808821787869,0.004822546182392088
10,2020-02-20 06:00:00,0.9878931870904984,-0.031626930910026385,0.004574805509987889,0.28535413793639175,-0.5045107428800494,-0.023388735083021868,0.2724602546284571,0.9258095976686257,-0.0013769683296207948,-0.7298505263695764,0.5187876670994324,0.012420656862022131,0.9886218164207974,-4.980405511162017e-17,0.0,0.05097212575027328,1.5276039584177665,-0.00809160120311627,0.291623586253062,-0.6582359895324662,0.006015063880150381
11,2020-02-21 06:00:00,0.9874448737959277,-0.03468761976875998,0.005019718129042146,0.30487736025053447,-0.5104402366309891,-0.024596795201733534,0.2556699338562845,0.9306697074132297,-0.0014065573816580811,-0.7419350689951014,0.5036575896599987,0.012258193699674052,0.988840637806772,2.4902027555810085e-17,-2.4902027555810085e-17,0.06397352948215099,1.5258124654195704,-0.008524783440930859,0.29852602532499545,-0.6550146361238927,0.007202815417349182
